1.70E+00	0.00E+00	145.2673318	-1.0040E-01	-1.0050E-01	5.7192E-01	5.7210E-01	3.9554E-01	2.1893E+00	2.1868E+00	2.3454E-01
1.75E+00	0.00E+00	145.3115984	-1.2190E-01	-1.2190E-01	6.9189E-01	6.9170E-01	4.6502E-01	2.5493E+00	2.5464E+00	2.7728E-01
1.80E+00	0.00E+00	145.3539277	-1.4700E-01	-1.4710E-01	8.2769E-01	8.2760E-01	5.4155E-01	2.9321E+00	2.9278E+00	3.2436E-01
1.85E+00	0.00E+00	145.4017348	-1.7610E-01	-1.7620E-01	9.8331E-01	9.8320E-01	6.2676E-01	3.3345E+00	3.3332E+00	3.7699E-01
1.90E+00	0.00E+00	145.4616319	-2.0970E-01	-2.1000E-01	1.1616E+00	1.1610E+00	7.2189E-01	3.8692E+00	3.8614E+00	4.3617E-01
1.95E+00	0.00E+00	145.5283742	-2.4830E-01	-2.4860E-01	1.3624E+00	1.3630E+00	8.2613E-01	4.5223E+00	4.5113E+00	5.0116E-01
2.00E+00	0.00E+00	145.6067953	-2.9250E-01	-2.9300E-01	1.6090E+00	1.6080E+00	9.5098E-01	5.2035E+00	5.1900E+00	5.8158E-01
2.05E+00	0.00E+00	145.696396	-3.4340E-01	-3.4400E-01	1.8946E+00	1.8910E+00	1.0920E+00	5.9223E+00	5.9009E+00	6.7397E-01
2.10E+00	0.00E+00	145.8027466	-4.0140E-01	-4.0230E-01	2.2004E+00	2.1970E+00	1.2394E+00	6.6768E+00	6.6428E+00	7.6967E-01
1.00E-01	2.50E+00	149.250934	-1.0790E-06	-1.0790E-06	-5.4688E-07	3.2360E-06	5.3212E-06	1.5930E-05	1.5930E-05	8.0033E-09
1.50E-01	2.50E+00	149.253583	-1.6190E-06	-1.6190E-06	1.0675E-06	4.8550E-06	1.7910E-05	5.3569E-05	5.3569E-05	4.0259E-08
2.00E-01	2.50E+00	149.2479417	-3.0670E-06	-3.0670E-06	5.3948E-06	9.1830E-06	4.2309E-05	1.2631E-05	1.2631E-04	1.2632E-07
2.50E-01	2.50E+00	149.2530971	-6.1100E-06	-6.1100E-06	1.4470E-05	1.8260E-05	8.2321E-05	2.4535E-04	2.4535E-04	3.0593E-07
3.00E-01	2.50E+00	149.2499364	-1.1620E-05	-1.1620E-05	3.0887E-05	3.4670E-05	1.4169E-04	4.2160E-04	4.2159E-04	6.2928E-07
3.50E-01	2.50E+00	149.2443216	-2.0660E-05	-2.0660E-05	5.7768E-05	6.1550E-05	2.2408E-04	6.6583E-04	6.6581E-04	1.1579E-06
4.00E-01	2.50E+00	149.2499748	-3.4480E-05	-3.4470E-05	9.8806E-05	1.0260E-04	3.3319E-04	9.8942E-04	9.8937E-04	1.9866E-06
4.50E-01	2.50E+00	149.2458035	-5.4490E-05	-5.4490E-05	1.5832E-04	1.6210E-04	4.7292E-04	1.4078E-03	1.4077E-03	3.4076E-06
5.00E-01	2.50E+00	149.2443784	-8.2370E-05	-8.2360E-05	2.4178E-04	2.4550E-04	6.4828E-04	1.9532E-03	1.9530E-03	6.5906E-06
5.50E-01	2.50E+00	149.2384796	-1.2010E-04	-1.2010E-04	3.5721E-04	3.6100E-04	8.6783E-04	2.7072E-03	2.7068E-03	1.5364E-05
6.00E-01	2.50E+00	149.2410658	-1.7020E-04	-1.7020E-04	5.1896E-04	5.2260E-04	1.1486E-03	3.8399E-03	3.8393E-03	3.9595E-05
6.50E-01	2.50E+00	149.2354617	-2.3660E-04	-2.3650E-04	7.5274E-04	7.5630E-04	1.5219E-03	5.6538E-03	5.6529E-03	9.9668E-05
7.00E-01	2.50E+00	149.2340885	-3.2490E-04	-3.2490E-04	1.1040E-03	1.1080E-03	2.0413E-03	8.6499E-03	8.6487E-03	2.3175E-04
7.50E-01	2.50E+00	149.2327651	-4.4460E-04	-4.4460E-04	1.6484E-03	1.6520E-03	2.7906E-03	1.3474E-02	1.3472E-02	4.9333E-04
8.00E-01	2.50E+00	149.228594	-6.0990E-04	-6.0980E-04	2.4974E-03	2.5010E-03	3.8840E-03	2.1080E-02	2.1079E-02	9.6188E-04
