3.9	1.381692573	133.4	7.627	8.676	3.171	3.945	2.447
4.2	1.381692573	127.8	8.878	9.974	3.492	4.777	2.526
4.5	1.381692573	119.8	10.45	11.62	3.87	6.468	2.594
4.584	1.381692573	116.8	11	12.2	3.997	7.436	2.615
2.163	1.579077227	149.2	2.873	3.946	1.55	8.064	8.004
2.1675	1.579077227	149.2	2.9	3.973	1.563	6.551	6.521
2.172	1.579077227	149.2	2.927	4	1.575	5.038	5.037
2.217	1.579077227	149.1	3.078	4.152	1.644	3.871	3.848
2.262	1.579077227	149	3.229	4.303	1.712	2.703	2.658
2.4	1.579077227	148.5	3.557	4.634	1.854	2.229	2.126
2.7	1.579077227	147	4.191	5.28	2.108	2.203	1.96
3	1.579077227	144.8	4.858	5.964	2.348	2.428	1.986
3.3	1.579077227	141.9	5.626	6.754	2.598	2.85	2.168
3.6	1.579077227	138.5	6.523	7.679	2.866	3.324	2.326
3.9	1.579077227	134.2	7.563	8.755	3.153	3.872	2.438
4.2	1.579077227	128.8	8.78	10.02	3.466	4.63	2.517
4.5	1.579077227	121.5	10.28	11.59	3.827	6.027	2.581
4.744	1.579077227	112.1	11.96	13.38	4.213	9.439	2.644
2.161	1.77646188	149.5	2.867	4.071	1.546	8.037	7.971
2.1655	1.77646188	149.6	2.894	4.098	1.559	6.526	6.493
2.17	1.77646188	149.6	2.921	4.124	1.571	5.015	5.015
2.215	1.77646188	149.5	3.071	4.275	1.639	3.852	3.83
2.26	1.77646188	149.4	3.221	4.426	1.707	2.688	2.645
2.4	1.77646188	148.9	3.551	4.76	1.851	2.212	2.111
2.7	1.77646188	147.4	4.179	5.4	2.102	2.186	1.949
3	1.77646188	145.2	4.838	6.078	2.34	2.407	1.975
3.3	1.77646188	142.4	5.597	6.861	2.588	2.823	2.159
3.6	1.77646188	139.1	6.481	7.776	2.853	3.283	2.318
3.9	1.77646188	134.9	7.503	8.837	3.136	3.807	2.43
4.2	1.77646188	129.8	8.69	10.08	3.442	4.504	2.508
4.5	1.77646188	122.9	10.12	11.59	3.789	5.696	2.57
4.8	1.77646188	112.2	12.09	13.69	4.24	9.19	2.641
4.891	1.77646188	106.7	12.98	14.67	4.442	13.04	2.675
2.161	1.973846533	149.5	2.867	4.071	1.546	8.037	7.971
2.1655	1.973846533	149.6	2.894	4.098	1.559	6.526	6.493
2.17	1.973846533	149.6	2.921	4.124	1.571	5.015	5.015
2.215	1.973846533	149.5	3.071	4.275	1.639	3.852	3.83
2.26	1.973846533	149.4	3.221	4.426	1.707	2.688	2.645
2.4	1.973846533	148.9	3.551	4.76	1.851	2.212	2.111
2.7	1.973846533	147.4	4.179	5.4	2.102	2.186	1.949
3	1.973846533	145.2	4.838	6.078	2.34	2.407	1.975
3.3	1.973846533	142.4	5.597	6.861	2.588	2.823	2.159
3.6	1.973846533	139.1	6.481	7.776	2.853	3.283	2.318
3.9	1.973846533	134.9	7.503	8.837	3.136	3.807	2.43
4.2	1.973846533	129.8	8.69	10.08	3.442	4.504	2.508
4.5	1.973846533	122.9	10.12	11.59	3.789	5.696	2.57
4.8	1.973846533	112.2	12.09	13.69	4.24	9.19	2.641
4.891	1.973846533	106.7	12.98	14.67	4.442	13.04	2.675
2.158	2.07253886	150.1	2.858	4.258	1.54	7.996	7.923
2.1625	2.07253886	150.1	2.885	4.285	1.553	6.489	6.452
2.167	2.07253886	150.1	2.912	4.311	1.565	4.982	4.981
2.212	2.07253886	150	3.061	4.461	1.633	3.824	3.803
2.257	2.07253886	149.9	3.21	4.61	1.7	2.666	2.625
2.4	2.07253886	149.5	3.542	4.947	1.845	2.187	2.089
2.7	2.07253886	148	4.161	5.581	2.094	2.161	1.932
3	2.07253886	145.9	4.81	6.25	2.328	2.377	1.961
3.3	2.07253886	143.2	5.555	7.022	2.574	2.784	2.146
3.6	2.07253886	139.9	6.422	7.923	2.835	3.228	2.306
3.9	2.07253886	136	7.419	8.963	3.112	3.719	2.418
4.2	2.07253886	131.1	8.566	10.17	3.409	4.345	2.495
4.5	2.07253886	124.9	9.923	11.6	3.739	5.323	2.554
4.8	2.07253886	115.9	11.66	13.47	4.14	7.516	2.615
5	2.07253886	105.6	13.4	15.39	4.53	13.15	2.678
